vetted,name,slug,category,min_stage,max_stage,focus_tags,equipment,exclusion_flags,cues,modifications,source_ref,benefit,media_url,open_questions
Y,Diaphragmatic breathing (360),diaphragmatic_breathing_360,breathing,t1_early,t3_late,"core, pelvic_floor, recovery",none,,"Seated or side-lying. Hands on lower ribs. Inhale wide into ribs and back, not just belly. Exhale slow through pursed lips.",Side-lying with a pillow between knees if seated is uncomfortable.,judgment - no constraint governs; review,"Teaches your ribs and diaphragm to move together, which is what lets the pelvic floor relax and contract properly. Almost everything else here works better once this does.",,Any preference on breath cues you use with patients?
Y,Pelvic floor activation,pelvic_floor_activation,pelvic_floor,t1_early,t3_late,pelvic_floor,none,,"Exhale, gently lift as if stopping gas. Hold 3-5s. Fully release. Release is as important as the lift.",Reduce hold to 2s. Do seated if lying is uncomfortable.,SOGC/CSEP 2019 Rec 5 - PFMT daily; technique instruction recommended,"Regular pelvic floor training during pregnancy cuts the odds of urinary leaking roughly in half now, and by about a third after birth.",https://www.youtube.com/shorts/00n38vocFDo,Can you refer us to a pelvic floor PT? Guideline says technique instruction matters.
Y,Pelvic floor relaxation / down-training,pelvic_floor_relaxation,pelvic_floor,t1_early,t3_late,"pelvic_floor, labor_prep",none,,"Supported deep squat or side-lying. Long slow exhale, let the pelvic floor soften and drop. No lifting.","Seated on a chair, knees wide, forward lean on forearms.",SOGC/CSEP 2019 Rec 5 - PFMT daily; technique instruction recommended,Your pelvic floor needs to let go as well as squeeze. Practising the release now builds a skill that matters for delivery and for everyday comfort.,https://www.youtube.com/shorts/LO6X0WPUTP8,Worth introducing this in T1 or is it a T3 thing?
Y,Pelvic floor quick flicks,pelvic_floor_quick_flicks,pelvic_floor,t1_early,t3_late,pelvic_floor,none,,"Fast light lifts, 1s on 1s off, 10 reps. Trains the fast-twitch response for cough and sneeze.",Halve the reps. Stop if you lose the sense of release between reps.,SOGC/CSEP 2019 Rec 5 - PFMT daily; technique instruction recommended,"Trains the fast response that stops leaking when you cough, sneeze, or laugh. Different skill from the long hold, and it needs its own practice.",,Any way to provdee links to outside resources? Like avideoe example.. Seems obscuree to me
Y,Side-lying supported breathing,side_lying_breathing,breathing,t1_early,t3_late,recovery,none,,"Left side, pillow between knees and under bump as it grows. Slow nasal inhale, longer exhale. 5 min.",Add a pillow under the ribs if the shoulder aches.,judgment - no constraint governs; review,Down-regulates a nervous system that's working hard. Counts as a real session on the days when nothing else does.,,Feel like adding reeasons as to why this is beneficial or what is preepping theem for is iimportant
Y,Cat-cow,cat_cow,mobility,t1_early,t3_late,"spine, hips",none,coning_risk,"Quadruped. Inhale to arch gently, exhale to round. Small range. Stop if the belly cones or tents.",Do it seated or standing with hands on thighs if the wrists or knees complain.,SOGC/CSEP 2019 impl. - diastasis: avoid abdominal curls,"Keeps the spine moving as posture shifts. Also the easiest place to notice belly coning early, while it's still simple to work around.",https://www.youtube.com/shorts/EBQD1Sha26k,feel like adding reeasons as to why this is beneficial or what is preepping theem for is iimportant
Y,Seated thoracic rotation,seated_thoracic_rotation,mobility,t1_early,t3_late,"spine, posture",chair,,"Sit tall, hands crossed on chest. Rotate from the ribs, not the low back. 8 each side, slow.",Reduce range. Keep hips square throughout.,SOGC/CSEP 2019 Rec 4 - yoga/gentle stretching additive,Rotation through the mid-back gets stiff as the ribcage widens. Keeping it mobile takes load off the low back.,https://www.youtube.com/shorts/KjV1Jocq7pE,feel like adding reeasons as to why this is beneficial or what is preepping theem for is iimportant. Video resource miht be nice heere too
Y,Half-kneeling hip flexor stretch,half_kneeling_hip_flexor,mobility,t1_early,t3_late,hips,none,fall_risk,"Half-kneel, tuck the pelvis under, shift weight forward slightly. Hold 30s. Should feel front-of-hip, not low back.",Hold a chair for balance. Pad the down knee.,SOGC/CSEP 2019 Rec 4 - yoga/gentle stretching additive,"Hip flexors shorten as the pelvis tilts forward through pregnancy, and that's a common source of low back ache. Opening them helps directly.",https://www.youtube.com/shorts/n0vnTslNiLM,
Y,Ankle and calf mobility,ankle_calf_mobility,mobility,t1_early,t3_late,"ankles, circulation",wall,,"Hands on wall, knee travels forward over toes without the heel lifting. 10 each side.",Seated ankle circles if standing is uncomfortable.,judgment - no constraint governs; review,"Calf pumping moves fluid out of the lower legs, which is where swelling collects. Also protects the ankles as balance shifts.",,Feel like adding reeasons as to why this is beneficial or what is preepping theem for is iimportant
Y,Wide-knee child's pose,childs_pose_wide_knee,mobility,t1_early,t3_late,"hips, recovery",none,,"Knees wide so there's room for the bump. Sit hips back toward heels, arms long. Breathe into the back ribs.","Sit back on a cushion, or do it standing folded over a counter.",SOGC/CSEP 2019 Rec 4 - yoga/gentle stretching additive,Opens the hips and lets the low back decompress. One of the few positions that stays comfortable most of the way through.,https://www.youtube.com/shorts/4GGfSQ_rZdg,
